id,title,description,link,image_link,price,availability,condition,google_product_category
BDBF18,The Black Logo Duffel Bag,"Our new nylon logo duffel bag is a new classic piece to have for the gym, school, or an overnight stay. 18"" long with an industrial zip closure, an adjustable shoulder strap and short soft handles. Black Nylon, Black nylon Logo Tape, Black industrial zipper.",https://havesomefuntoday.com/products/the-black-logo-duffel-bag,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1319.JPG?v=1572136104,85.00,in stock,new,Luggage & Bags > Duffel Bags 103
TCBLF18,The Black & Tan Appliqued Clutch,"Our tan appliqued clutch uses a high quality black pv appliqué and brass hardware on the zipper pull. It is a great little piece that is neutral and can pair with any outfit for witty and chic flair. It's great also as a travel organizer or a poolside clutch. 9""T x 11""W.",https://havesomefuntoday.com/products/the-black-tan-appliqued-clutch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1281.JPG?v=1572136011,65.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
BCSLF18,The Silver & Black Appliqued Clutch,"The black canvas clutch is appliqued with a silver pv and has silver hardware. Its a great bag for adding a little ""fun"" to any outfit or can be a great piece for travelling essentials. 9""T x 11"" W.",https://havesomefuntoday.com/products/the-silver-appliqued-clutch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1279.JPG?v=1549396982,65.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
BLT1118,The Black on Black Luxe Tote,"Our black Luxe Tote is the newest update to our classic luxe tote bag, leather handles, stylish brass hardware and fine black pv applique on a thick textured cotton canvas, our LUXE Tote will become your go-to carry-all. This roomy and versatile bag can be used as a chic shopper or while lounging poolside at the most elegant resort. Composition: Cotton, Leather and Brass. Care: Spot wash, gentle strength soap, cool water. Lay flat to dry. Dimensions: 16.5"" w x 15.5""h, 10"" handle drop from shoulder to bag.",https://havesomefuntoday.com/products/the-black-on-black-luxe-tote,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1294.JPG?v=1572136093,150.00,in stock,new,Luggage & Bags > Shopping Totes 5608
BMBF18,The Luxe Market Tote,"Black &amp; Ivory Heavy Canvas Market Tote with Leather handles, brass grommets, and a leather embossed logo patch. The front of the bag is appliqued in PV with our brand mantra. The bag measures: 13""W x 8"" D x 18"" T",https://havesomefuntoday.com/products/the-luxe-market-tote,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1270.JPG?v=1549471124,170.00,in stock,new,Luggage & Bags > Shopping Totes 5608
WPSL17,The Petal Leggings,"The perfect lightweight leggings for whatever you do to have freedom of movement with great moisture wicking capability, support and comfort. Our Have Some Fun Today graphic is elegantly scripted in a full sublimation print to add a little fun chic. In Black. *80% polyester 20% spandex. *Amanda is 5'4 wearing a size small. *Wash inside out at 40* C ( max).",https://havesomefuntoday.com/products/the-petal-leggings,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0816.JPG?v=1549488576,70.00,in stock,new,Apparel & Accessories > Clothing > Pants 204
WASL18,The Aubergine Leggings,"The perfect lightweight leggings for whatever you do to have freedom of movement with great moisture wicking capability, support and comfort. Our Have Some Fun Today graphic is elegantly scripted in a full sublimation print to add a little fun chic. In Aubergine. *80% polyester 20% spandex. *Amanda is 5'4 wearing a size small. *Wash inside out at 40* C ( max).",https://havesomefuntoday.com/products/the-aubergine-leggings,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0853.JPG?v=1572135963,70.00,in stock,new,Apparel & Accessories > Clothing > Pants 204
WBSL17,The Black Leggings,"The perfect lightweight leggings for whatever you do to have freedom of movement with great moisture wicking capability, support and comfort. Our Have Some Fun Today graphic is elegantly scripted in a full sublimation print to add a little fun chic. In Black *80% polyester 20% spandex. *Amanda is 5'4 wearing a size small. *Wash inside out at 40* C ( max).",https://havesomefuntoday.com/products/the-black-leggings,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0797.JPG?v=1572136115,70.00,in stock,new,Apparel & Accessories > Clothing > Pants 204
MTCC,"Cocktail Clutch - "" Martini Time""","HSFT's LUXE Clutch is stylish and fun and we've added a unique handpainted design to each! With a raw leather handle, brass hardware and fine black lambskin leather applique on thickly woven textured cotton canvas, our versatile clutch is just what you need for the season. Easily holds everything you'll require for an outing! Wear it with a sundress and sandals for day or with jeans and heels for evening! Perfect also for lounging by the pool at your favorite resort....Composition: 100% cotton, leather and brass. Care: Spot clean with gentle detergent and a soft cloth. Dimensions: 9"" w x 5"" h , 6"" handle from bag. ",https://havesomefuntoday.com/products/cocktail-clutch-martini-time,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_3629.jpg?v=1572122173,55.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
MTG16,Grey Muscle Tank,"Fabric: 65% cotton / 35% viscose. The grey muscle tank is super cute and fits one size small. It is a slim fitting tank with a 24"" body length so it looks great out or tucked in. The model is wearing a size Small and she is 5'5. We recommend wearing a size larger than what you normally wear for the best fit possible.",https://havesomefuntoday.com/products/grey-muscle-tank,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1392.JPG?v=1572135318,40.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WMBLL17,Live Love Muscle Tank,"Fabric: 65% cotton / 35% viscose. The Live Love muscle tank is super cute and fits one size small. It is a slim fitting tank with a 24"" body length so it looks great out or tucked in. Hits a few inches below the natural waistline. The model is wearing a size Small and she is 5'5. We recommend ordering a size up for the best fit.",https://havesomefuntoday.com/products/live-love-muscle-tank,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2069.JPG?v=1572135879,40.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WNTOG17,Womens New Tank,This is a sexy and subtle silhouette with our original graphic. It is a slim cut so if you prefer to have a roomier fit I would suggest ordering up a size or two. If you normally wear a small then you will be a small but it will be a more tailored fit. The fabric is 50% poly/ 37% cotton/ 13% rayon. The fabric is drapy and this tank looks great out or tucked in. The model is 5'4 and is wearing a size small.,https://havesomefuntoday.com/products/womens-new-tank,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2146.JPG?v=1550250923,40.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WCSOT17,Original Cap Sleeve Tee,"Fabric: 50% poly/ 37% cotton/ 13% rayon. Slim fitting and feminine with a perfectly flattering cap sleeve and a rounded low-cut neckline. Shaped hem looks great out or tucked in. This t shirt is sized to be fitted, so if you like a looser fitting t shirt I would suggest ordering up at least one size. Model is wearing a size medium because she has broad shoulders. She is 5'9.",https://havesomefuntoday.com/products/original-cap-sleeve-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2494.jpg?v=1572135940,40.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
YTDTP17,Youth Pink Tie Dye Tee,100% ring spun and combed cotton short sleeve tee in hot pink and orange tie dye with silver metallic graphic... Sure to be a favorite! Looks great on adults too......:) ,https://havesomefuntoday.com/products/youth-pink-tie-dye-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0148.JPG?v=1550252569,36.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
TYTDTP17,Toddler Pink Tie Dye Tee,100% ring spun and combed cotton short sleeve tee in hot pink and orange tie dye with silver metallic graphic... Sure to be a favorite!,https://havesomefuntoday.com/products/toddler-pink-tie-dye-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1528.JPG?v=1550252386,30.00,in stock,new,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops 5410
YTDTB17,Youth Blue Tie Dye Tee,100% combed and ring spun cotton tie dye in blues and greens with the black graphic. Will sure to be a favorite piece of clothing! Looks super cute on adults too in a size large...,https://havesomefuntoday.com/products/youth-blue-tie-dye-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2219.JPG?v=1550251104,36.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
TTDTB17,Toddler Blue Tie Dye Tee,100% combed and ring spun cotton short sleeve tee shirt in blue and green tie dye with the black graphic.,https://havesomefuntoday.com/products/toddler-blue-tie-dye-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2230.JPG?v=1550251020,30.00,in stock,new,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops 5410
BTTDTB17,Infant Tank Top,Our 1 x 1 rib knit tie dye tank with silver metallic Have Some Fun Today graphic is probably the cutest tank any baby could wear....!,https://havesomefuntoday.com/products/infant-tank-top,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2487.jpg?v=1572135847,27.00,in stock,new,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops 5410
HSFTP,The HSFT Patch,"The HSFT patch in woven on black background with a white embroidered letters. It measures 3.5"" x 1"". Great on a jacket or book bag. Press on and for added durability sew the outer edges.",https://havesomefuntoday.com/products/the-hsft-patch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_7025.jpg?v=1526421975,5.00,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Appliques & Patches 6955
HSFTP2,Have Some Fun Today  Patch,"Black embroidered Patch measures 2.5"" x 3"" . It is a press on with a hot iron, but for edge stability I would sew the outer edge to sustain laundering. Works great on jean jackets or a school back pack.",https://havesomefuntoday.com/products/have-some-fun-today-patch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_7024.jpg?v=1526421993,5.00,in stock,new,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Appliques & Patches 6955
WBDS17,The Black Deluxe Shopper,"Our newest tote bag just got a big tweak in proportion. Our black open tote bag with an inside zip pocket measures 16"" wide X 18"" long with a 9"" handle drop. Its such a great new proportion that gives this bag a cool modern twist. Perfect for overnights, shopping, beach, school or gym. In addition we have commissioned artist Chris Bergman to create our crown charm just a little bit bigger to top off the "" details"" of this latest addition to our accessory line.",https://havesomefuntoday.com/products/the-black-deluxe-shopper,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1302.JPG?v=1572136127,60.00,in stock,new,Luggage & Bags > Shopping Totes 5608
CBHSFT17,The Black Cashmere Beanie,The new 100% cashmere 7gg medium gauge ribbed knit beanie with our woven logo patch is the latest item in our Have Some Fun Today accessory line.,https://havesomefuntoday.com/products/the-black-cashmere-beanie-with-logo-patch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1204.jpg?v=1572136138,60.00,in stock,new,Apparel & Accessories > Clothing Accessories > Hats 173
GC,Gift Card,Shopping for someone else but not sure what to give them? Give them the gift of choice with a HSFT  gift card. Gift cards are delivered by email and contain instructions to redeem them at checkout. Our gift cards have no additional processing fees.,https://havesomefuntoday.com/products/gift-card,https://cdn.shopify.com/s/files/1/0665/6537/products/e38bd83af578077b65a31424bd24d085.png?v=1508359390,150.00,in stock,new,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Cards & Certificates 53
WWSL17,The White Leggings,"The perfect lightweight leggings for whatever you do to have freedom of movement with great moisture wicking capability, support and comfort. Our Have Some Fun Today graphic is elegantly scripted in a full sublimation print to add a little fun chic. In white. *80% polyester 20% spandex. *Allegra is 5'4 wearing a size small. *Wash inside out at 40* C ( max).",https://havesomefuntoday.com/products/the-leggings,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0885.JPG?v=1549488827,70.00,in stock,new,Apparel & Accessories > Clothing > Pants 204
WWB18,The White One Piece Swimsuit,You will really be making a statement and looking amazing while you do in our new one piece swimsuit with our original graphic on the front. In white or black this suit is ultra flattering on so many body types. *80%polyester 20%spandex. Model is 5'10 and is wearing a size small. *High quality stretch to allow freedom of movement while keeping everything in the right place. *Wash inside out at 40* C (max). *All Swimwear is nonrefundable due to hygienic purposes.,https://havesomefuntoday.com/products/the-one-piece-swimsuit,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2573.JPG?v=1550446205,62.00,in stock,new,Apparel & Accessories > Clothing > Swimwear 211
WWSB17,The White Sports Bra,You will love how comfortable and chic you feel in our lightweight sports bra. With our slogan on the banding it looks as great on its own as it feels under a tank or tee. Also pairs well with a bikini bottom for a sporty beach vibe. Model is 5'10 and is wearing a size small. * 80%polyester  20% spandex. * Moisture wicking and quick dry. * Sublimation print for long wear. Wash inside out at 40* C (max).,https://havesomefuntoday.com/products/the-sports-bra,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_0872.JPG?v=1550444671,40.00,in stock,new,Apparel & Accessories > Clothing > Underwear & Socks > Bras 214
HSFTSS17,Have Some Fun Tonight Silver Graphic Tee,"It looks like the t shirt you stole from your little sis, the one that looks super sexy and almost too small for you, but we made it on purpose that way and that's what makes it so sexy and cool. Fits snug because it's supposed to! Model is 5'9 and is wearing a size L because she has broad shoulders. If you are a skinny mini and want it to fit snug then order your normal size. If you normally wear a medium or a large I would recommend ordering a size up. If you want it even with more room order up two sizes. Free exchanges to get it right. Fabric is: 65% cotton/ 35% viscose.",https://havesomefuntoday.com/products/have-some-fun-tonight-silver-graphic-tee,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2116.JPG?v=1572135693,18.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
BCWC16,The Baseball Cap - White,"Make our Baseball Cap your new go-to hat... Wear this cap to the beach, for exercise or running errands! Composition: 100% Cotton Twill. Care: Spot wash with gentle cleanser. Size: One size fits most. Adjustable fabric hide-away closure with brass grommet.",https://havesomefuntoday.com/products/baseball-cap-white,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1379.JPG?v=1572122536,28.00,in stock,new,Apparel & Accessories > Clothing Accessories > Hats 173
CSTA16,HSFT Crown Stationary,Send your notes with style. Or share them as a gift! Embossed set of 8 luxe weight notecards with multicolor crowns. ,https://havesomefuntoday.com/products/hsft-crown-stationary,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1998.JPG?v=1474422686,12.00,in stock,new,Office Supplies > General Office Supplies > Paper Products > Stationery 3457
CRGE16,The Rose Gold Crown Earrings,Delicate in proportion. Bold in style. Sterling silver with 14K rose gold plating. The perfect little studs for everyday!,https://havesomefuntoday.com/products/earrings-rose-gold-crown,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2515_2.JPG?v=1550445130,30.00,in stock,new,Apparel & Accessories > Jewelry > Earrings 194
CRGN16,The Rose Gold Crown Necklace,"Delicate in proportion. Bold in style. Wear alone or layer it! 15.5"" chain. Sterling silver with 14K  gold plating.",https://havesomefuntoday.com/products/necklace-rose-gold-crown,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1190.JPG?v=1549397021,48.00,in stock,new,Apparel & Accessories > Jewelry > Necklaces 196
CBHWP16,The Crown Baseball Hat - White,"Wear the crown :)! Our Crown Baseball Cap to the beach, for exercise or running errands! Composition: 100% Cotton Twill. Care: Spot wash with gentle cleanser. Size: One size fits most. Adjustable fabric hide-away closure with brass grommet.",https://havesomefuntoday.com/products/baseball-hat-crown-white,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1341.JPG?v=1572136219,14.00,in stock,new,Apparel & Accessories > Clothing Accessories > Hats 173
